Date,New cases,Cumulative cases,Daily growth rate in cases,New deaths,Cumulative deaths,Source
2020/05/15,27,2026,1%,1,36,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/05/16,0,2026,0%,0,36,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/05/17,28,2054,1%,0,36,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/05/18,77,2131,3%,0,36,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/05/19,0,2131,0%,0,36,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/05/20,54,2185,2%,1,37,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/05/21,13,2198,0%,0,37,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/05/23,152,2350,6%,3,40,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/05/24,17,2367,0%,0,40,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/05/25,19,2386,0%,0,40,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/05/26,13,2399,0%,0,40,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/05/27,9,2408,0%,0,40,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/05/31,150,2558,6%,2,42,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/06/01,12,2570,0%,1,43,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/06/02,17,2587,0%,0,43,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/06/03,0,2587,0%,0,43,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/06/04,57,2644,2%,0,43,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/06/05,54,2698,2%,0,43,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/06/06,14,2712,0%,0,43,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/06/07,35,2747,1%,0,43,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/06/08,32,2779,1%,0,43,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/06/09,14,2793,0%,1,44,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/06/10,16,2809,0%,0,44,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/06/11,31,2840,1%,0,44,https://www.sfdph.org/dph/alerts/coronavirus.asp
2020/06/12,38,2878,1%,0,44,https://www.sfdph.org/dph/alerts/coronavirus.asp
